Id,commonName,botanicalName,plantPic,plantsLink,wateringInformation,typeOf,exposure,generalInformation,plantingGuide,pestsDiseases,careGuide
11,Dill,Anethum graveolens,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/dill.jpg?itok=PB9XcvOY,http://www.almanac.com/plant/dill,3,Herb,Full Sun,"Dill is an annual, self-seeding plant with feathery green leaves. It is used most commonly in soups, stews, and for pickling. Dill is easy to grow and attracts beneficial insects to your garden, such as wasps and other predatory insects.",null,null,"Water the plants freely during the growing season. In order to ensure a season-long fresh supply of dill, continue sowing seeds every few weeks. For an extended harvest, do not allow flowers to grow on the plants. If the soil remains undisturbed throughout the growing season, more dill plants will grow the next season."
12,Beans,Phaseolus vulgaris,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/greenbeans.jpg?itok=bSkHL7Z8,http://www.almanac.com/plant/beans,2,Vegetable,Full Sun,"Pole and bush beans (more commonly called green beans) are a tender vegetable and a great addition to any garden, great eaten fresh off the plant or incorporated into a recipe. Bush beans require less maintenance, so they are easier to grow.",null,null,"Mulch soil to retain moisture; make sure that it is well-drained. Water regularly, from start of pod to set. Water on sunny days so foliage will not remain soaked. Beans require normal soil fertility. Only fertilize where levels are low. Begin after heavy bloom and set of pods. Use a light hand when applying high-nitrogen fertilizer, or you will get lush plants and few beans. Weed diligently and use shallow cultivation to prevent disturbing the root systems."
13,Cabbage,Brassica oleracea var. capitata,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/Cabbage.jpg?itok=ENTE44xT,http://www.almanac.com/plant/cabbage,3,Vegetable,Full Sun,"Cabbage is a hardy, leafy vegetable full of vitamins. It can be difficult to grow; it only likes cool temperatures, and it can be a magnet for some type of pests. By planning your growing season and providing diligent care, you may have two successful crops in one year, both spring and fall. Many varieties are available to suit both your growing conditions and taste preferences.",null,null,"When transplants reach 5 inches tall, thin to make sure they are still the desired length apart. (The plants you remove can be transplanted elsewhere in your garden.) Fertilize 3 weeks after transplanting. Keep soil moist with mulch and water 2 inches per week."
14,Tomatoes,Lycopersicon esculentum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/tomatoplant.jpg?itok=KJNBeA6X,http://www.almanac.com/plant/tomatoes,3,Vegetable,Full Sun,Where to buy tomatoes: Burpee Gardening,null,"Tomatoes are susceptible to insect pests, especially tomato hornworms and whiteflies. Link to our pest & problem pages below.","Water generously for the first few days. Water well throughout growing season, about 2 inches per week during the summer. Keep watering consistent! Mulch five weeks after transplanting to retain moisture. To help tomatoes through periods of drought, find some flat rocks and place one next to each plant. The rocks pull up water from under the ground and keep it from evaporating into the atmosphere. Fertilize two weeks prior to first picking and again two weeks after first picking. If using stakes, prune plants by pinching off suckers so that only a couple stems are growing per stake. Practice crop rotation from year to year to prevent diseases that may have over wintered."
15,Grapes,Vitis,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/grapes.jpg?itok=QOqdQt6n,http://www.almanac.com/plant/grapes,2,Fruit,Full Sun,"Grapes, a long season crop, are often ignored in home gardens, and yet are one of the most widely produced fruits in the world.",null,null,"In the first couple of years, the vine should not be allowed to produce fruit. It needs to strengthen its root system before it can support the extra weight of fruit. Pruning is important. Not only would vines run rampant without control, but canes will only produce fruit once. Prune annually when vines are dormant, in March or April. This is before the buds start to swell, but when winter damage is apparent. Don't be afraid to remove at least 90 percent of the previous season's growth. This will ensure a higher quality product. Remember, the more you prune, the more grapes you will have. In the first year, cut back all buds except for 2 or 3. Then, select a couple of strong canes and cut back the rest. Make sure the remaining canes are fastened to the support. In the second year, prune back all canes. Leave a couple of buds on each of the arms. Remove flower clusters as they form. Do not fertilize in the first year unless you have problem soil. Fertilize lightly in the second year of growth. Use mulch to keep an even amount of moisture around the vines. A mesh net is useful in keeping birds away from budding fruit."
16,Carrots,Daucus carota,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/carrots.jpg?itok=_nIMWR5y,http://www.almanac.com/plant/carrots,2,Vegetable,Full Sun,"Carrots are a popular root vegetable that are easy to grow in sandy soil. They are resistant to most pests and diseases, and are a good late season crop that can tolerate frost. Not all carrots are orange; varieties vary in color from purple to white.",null,null,"Gently mulch to retain moisture, speed germination and block the sun from the roots. Soil should be well drained and loose to prevent forking and stunting of the root growth. Once plants are an inch tall, thin so they stand 3 inches apart. Snip them with scissors instead of pulling them out to prevent damage to the roots of remaining plants. Water at least one inch per week. Weed diligently. Fertilize 5-6 weeks after sowing. Carrots taste much better after a couple of frosts. Following the first hard frost in the fall, cover carrot rows with an 18-inch layer of shredded leaves to preserve them for harvesting later."
17,Corn,Zea mays,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/ears_of_corn.jpg?itok=AAh_FWcU,http://www.almanac.com/plant/corn,3,Vegetable,Full Sun,"Sweet corn is an annual with yellow, white, and bi-colored ears. A long, frost-free growing season is necessary after planting. Sweet corn is wind-pollinated, so it should be planted in blocks, rather than in single rows. Early, mid, and late-season varieties extend the harvest. If you miss the optimal harvest time, corn will go downhill fast as sugars convert to starch.",null,Click on the links below to learn how to manage different pests in the garden!,"When your plants are 3 to 4 inches tall, thin them so they are 8 to 12 inches apart. Be careful not to damage the roots when weeding. Soil must be well drained and able to keep consistent moisture. In dry conditions, be sure to keep corn well watered due to its shallow roots. Water at a rate of 5 gallons per sq yard. Mulch helps reduce evaporation."
18,Sweet Peas,Lathyrus odoratus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/sweet-pea.jpg?itok=v99O20jw,http://www.almanac.com/plant/sweet-peas,2,Flower,Full Sun,"Sweet peas enchant us with their fragile, seductive fragrance and make great bouquets. These pea-like flowers grow in many lovely colors and are suitable for an annual border, a woodland garden, and a trellis or arch.",null,null,"Once planted, germination can take 7 to 15 days, depending on the soil temperature. As seedlings emerge and grow, gradually fill in the trench. Hoe more soil up to them. Keep soil moist. Summer rain may be ample. If you put your finger into the soil bed to its first joint and the soil is dry: water them at the soil level and do in the morning; sweet peas can suffer from bud drop. If you use plenty of aged manure and compost when planting, you do not need to fertilize. If you do want to add nourishment, use high potash feeds, as nitrogen feeds encourage too much top growth. Sweet peas prefer cool days and nights and will start to fade when temperatures go above 65 degrees F. Except for the bush types, sweet peas are real climbers. Give them at least 6 feet of good support. Some varieties may climb to 9 or 1 feet. If you don't have a fence or trellis, provide brush or chicken wire or bushy stubbly twigs that they can cling to. When plants become established, mulch well to keep the soil cool and moist. If you mulch, you may not need to water your sweet peas unless the soil gets dry. To encourage bushy growth, pinch off the tops when plants are 6 inches tall, not before or you'll encourage premature side-shoot development. Pick the flowers for bouquets often and the plant will put energy into more blooms instead of going to seed. Harvest the stems when the lowest blossom is just begining to open."
19,Lilies,Lilium,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_4215.jpg?itok=ufGTsl1e,http://www.almanac.com/plant/lilies,2,Flower,Full Sun,"Lily flowers are valued for their large, very showy, often fragrant flowers. The 6 plain or strikingly marked tepals (€œpetals€) are often trumpet-shaped, sitting atop tall, erect stems.","Most of the popular varieties prefer acidic to neutral soil, but some are lime-tolerant or prefer alkaline soils (e.g., Madonna lilies).",null,"In active growth, water freely especially if rainfall is less than 1 inch per week. Keep lilies mulched so that their roots are cool. The mulch should feel moist but not wet. Apply a high-potassium liquid fertilizer every 2 weeks from early spring until 6 weeks after flowering. Keep moist in winter. Apply a thin layer of compost each spring, followed by a 2-inch layer of mulch. Stake tall lilies. Lilies do not rebloom, but you can remove the faded flowers so that the plants don't waste energy making seeds. Leave the foliage until it turns brown in the fall. This is important so that the plant stores energy for next year's flowering. Cut down the dead stalks in the late fall or early spring. Before winter, add 4 to 6 inches of mulch, simply to delay the ground freeze and allow the roots to keep growing. Leave the mulch until spring once the last hard frost has passed. Divide plants every 3 to 4 years as new growth begins in the spring. Just lift them and divide into clumbs. Replant using compost and bonemeal."
20,Aster,Aster,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/aster-flower_0.jpg?itok=JUSwVyA_,http://www.almanac.com/plant/aster,2,Flower,Full Sun,Asters are daisy-like perennials with starry-shaped flower heads. They bring delightful color to the garden in late summer and autumn when many of your other summer blooms may be fading.,null,null,"Add a thin layer of compost with a 2inch layer of mulch around the plants every spring. If you receive less than 1 inch of rain a week, remember to water your plants regularly during the summer. However, many asters are moisture-sensitive; if your plants have too much moisture or too little moisture, they will often lose their lower foliage or not flower well. Keep an eye out for any stressed plants and try a different watering method if your plants are losing flowers. Stake the tall variesties in order to keep them upright and remember to pinch the young shoots to encourage bushiness. Cut asters back in winter after the foliage has died. Divide every 2 to 3 years in the spring to maintain your plant's vigor and flower quality."
21,Watermelon,Citrullus lanatus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/watermelon.jpg?itok=5vicJGS2,http://www.almanac.com/plant/watermelon,3,Fruit,Full Sun,"Everyone seems to love juicy watermelon in the summertime. Native to Africa, melons need warm temperatures (up to 80 degrees during the day) and a long growing season. Gardeners in colder climates can still have success in growing watermelon by starting seeds indoors and choosing short-season varieties. Days to maturity range from 70 to 90, depending on the variety.",null,null,"Mulching with black plastic will serve multiple purposes: it will warm the soil, hinder weed growth and keep developing fruits clean. Watering is very important from planting until fruit begins to form. While melon plants are growing, blooming, and setting fruit, they need 1 to 2 inches of water per week. Keep soil moist but not waterlogged. Water at the vine's base in the morning, and try to avoid wetting the leaves and avoid overhead watering. Reduce watering once fruit are growing. Dry weather produces the sweetest melon. If you choose to fertilize (and many do), make sure it's deliver more nitrogen than phosphorus and potassium. However, after flowering begins, use a fertilizer with less nitrogen. We like to use liquid seaweed. Pruning isn't necessary, but vine productivity may be improved if you do not allow lateral (side) vines to grow and stick to the main vine. When the plant is young, just cut off the end buds as they form (before the side shoots become vines). You can also pinch off some blossoms to focus the energy on fewer melons (though it's a challenge to kill off a potential fruit!). Vines produce male and female flowers separately on the same plant. They often begin producing male flowers several weeks before the females appear. Do not be concerned if the male flowers fall off. The female flowers (which have a swollen bulb at the base) will stay on the vine and bear fruit. Blossoms require pollination to set fruit, so be kind to the bees! As fruit is ripening, prevent rotting by gently lifting it and putting some cardboard or straw between the fruit and the soil."
22,Blueberries,Vaccinium,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/blueberries.jpg?itok=CNxlm6ZC,http://www.almanac.com/plant/blueberries,2,Fruit,Full Sun,"The modern blueberry is a 20th century invention. Before the 1900s, the only way to enjoy these North American natives was to find them in the wild. Then, scientists started to unlock the secrets of cultivating blueberries, and we're glad they did! Plump, juicy berries are now easy to grow in your backyard on bushes that are resistant to most pests and diseases, and can produce for up to 20 years. A relative of rhododendron and azalea, blueberry bushes are also an attractive addition to your overall landscape, offering scarlet fall foliage and creamy white spring flowers.",null,null,"Mulch to keep shallow blueberry root systems moist, which is essential. Apply a 2-4 inch layer of woodchips, saw dust or pine needles after planting. Supply one to two inches of water per week. For the first four years after planting, there is no need to prune blueberry bushes. From then on, pruning is needed to stimulate growth of the new shoots that will bear fruit the following season. Drape netting over ripening blueberries, so that the birds won't make away with the entire crop. Prune plants in late winter, preferably just before growth begins. On highbush varieties, begin with large cuts, removing wood that is more than six years old, drooping to the ground, or crowding the center of the bush. Also remove low-growing branches whose fruit will touch the ground, as well as spindly twigs. Prune lowbush blueberries by cutting all stems to ground level. Pruned plants will not bear the season following pruning, so prune a different half of a planting every two years (or a different third of a planting every three years). Do not allow the bush to produce fruit for the first couple of years. Pinch back blossoms, this will help to stimulate growth."
23,Rosemary,Rosmarinus officinalis,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/HerbLore.jpg?itok=sehXN3sd,http://www.almanac.com/plant/rosemary,2,Herb,Full Sun,"Rosemary is a perennial evergreen shrub with blue flowers. It is a pungent and distinctive plant with a sweet, resinous flavor. Rosemary is ideal for a rock garden or the top of a dry wall. It is used for poultry, lamb, stews, and soups.",null,null,"After the plant flowers, remember to trim the plant. For fresh rosemary in the winter, grow the plant indoors in a pot. Be sure to put it in bright light and cool temperatures. Prune regularly so that the plant won't get lanky. Water the plants evenly throughout the growing season. Be sure to get cuttings or divide the plant for next season."
24,Bell Peppers,Capsicum annuum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/yellow_bell_peps.jpg?itok=pplKJTCu,http://www.almanac.com/plant/bell-peppers,3,Vegetable,Full Sun,"Peppers are a tender, warm-season crop. They resist most pests and offer something for everyone: spicy, sweet or hot, and a variety of colors, shapes and sizes. For this page, we will focus on sweet bell peppers.",null,null,"Soil should be well-drained, but maintain adequate moisture either with mulch or plastic covering. Water one to two inches per week, but remember peppers are extremely heat sensitive. If you live in a warm or desert climate, watering everyday may be necessary. Fertilize after the first fruit set. Weed carefully around plants. If necessary, support plants with cages or stakes to prevent bending. Try commercially available cone-shaped wire tomato cages. They may not be ideal for tomatoes, but they are just the thing for peppers. For larger fruit, spray the plants with a solution of one tablespoon of Epsom salts in a gallon of water, once when it begins to bloom, and once ten days later."
25,Chives,Allium schoenoprasum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/chives.jpg?itok=FMZDb6SM,http://www.almanac.com/plant/chives,3,Herb,Full Sun,Chives are a perennial member of the onion family that sport beautiful purple flowers.,null,null,"It is important to give chives consistent watering throughout the growing season for high yields. Moisten the soil thoroughly when watering. Use mulch to conserve moisture and keep the weeds down. For good production, sidedress with fertilizer in May and July with 1 teaspoon of 21-0-0 per square foot. Minimal care is needed for fully grown plants. After the flowers bloom, be sure to remove them so that the seeds aren't spread throughout your garden. Plants grow to be 12 to 24 inches tall and may spread a foot across. Remember to divide the plants every 3 to 4 years in the spring. Chives are much more productive if divided regularly. Allow divided plants to grow for several weeks before harvesting."
26,Veronica,Veronica,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/veronica.jpeg?itok=yHIf3W_p,http://www.almanac.com/plant/veronica,2,Flower,Full Sun,"Veronica , also called Speedwell, is a carefree and easy-to-grow perennial with long spikes of small petals in purple, blue, pink, or white. This attractive plant grows in clusters from 1 to 3 feet tall, and blooms from spring to autumn.",null,null,"Water in the summer if rainfall is less than 1 inch per week. Stake tall varieties. Keep covered with a thin layer of compost, followed by a 2-inch layer of mulch to retain moisture. Deadhead to extend bloom time. After the first killing frost, cut back stems to an inch or two above the soil line. Divide perennials in autumn or spring every few years."
27,Tulips,Tulipa,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_6381.jpg?itok=D6Msp2m9,http://www.almanac.com/plant/tulips,1,Flower,Full Sun,Where to buy tulip bulbs: Burpee Gardening,null,null,"Water tulips during dry spells in the fall; otherwise, do not water. Compost annually. Deadhead tulips after flowering. Allow the foliage to yellow for about 6 weeks after flowering before removing it. The bulbs of Species tulips may be left in the ground for several years; others may be lifted annually, once the leaves have died down, and ripened in a warm, dry place. Replant the largest bulbs; smaller bulbs may be grown in containers in a bulb frame, in mix of equal parts loam, leaf mold, and sharp sand. When in growth, water moderately, applying a balanced liquid fertilizer weekly for 3 or 4 weeks after flowering; keep dry in summer, and repot annually."
28,Lettuce,Lactuca sativa,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/lettuce_rows.jpg?itok=jUkVEFRk,http://www.almanac.com/plant/lettuce,2,Vegetable,Part Sun,"This is a half-hardy vegetable that you can keep growing all season long by planting one small crop at a time. Days to maturity tend to be short. Garden lettuce is far superior, in both taste and vitamin A content, to supermarket brands.",null,null,"You should be able to sow additional seeds every two weeks for a continuous harvest throughout the growing season. Fertilize 3 weeks after transplanting. Lettuce prefers soil that is high in humus, with plenty of compost and a steady supply of nitrogen to keep if growing fast. Use organic alfalfa meal or a slow-release fertilizer. To plant a fall crop, create cool soil in August by moistening the ground and covering it with a bale of straw. A week later, the soil under the bale will be about 10 degrees F (6 degrees C) cooler than the rest of the garden. Sow a three foot row of lettuce seeds every couple of weeks€”just rotate the straw bale around the garden. Make sure soil remains moist but is well-drained. An organic mulch will help conserve moisture, suppress weeds, and keep soil temperatures cool throughout the warmer months. Lettuce will tell you when it needs water. Just look at it. If the leaves are wilting, sprinkle them anytime even in the heat of the day€”to cool them off and slow down the transpiration rate. Weed by hand if necessary, but be careful of plant roots: They are shallow. Planning your garden so that lettuce will be in the shade of taller plants, such as tomatoes or sweet corn, in the heat of the summer, may reduce bolting."
29,Rhododendrons,Rhododendron,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_2789.jpg?itok=bElOllXd,http://www.almanac.com/plant/rhododendrons,3,Shrub,Part Sun,"Rhododendrons and azaleas, both from the genus Rhododendron, have long been mainstays of late spring because of its spectacular clusters of showy blooms and large green leaves that often last through winter.",null,null,"Mulch plants annually with 2 to 5 inches of pine bark chips or pine needles to protect shallow roots, retain soil moisture, and keep the soil damp. A lack of water reduces flower-bud formation. (Keep mulch a few inches away from the trunk.) Fertilize azaleas and rhododendrons sparingly and only when flower buds swell in the early spring, even if they are fall bloomers. Heavy applications of fertilizer will burn the plants. Water plants during the summer if rainfall is less than 1 inch per week. After flowering, deadhead where practical, to promote vegetative growth rather than seed production. Remove dead flowers from rhododendrons carefully; next year's buds are just under the old heads. In regions with severe winters, wrap evergreen rhododendrons with burlap in the fall. Transplant azaleas and rhododendrons whenever the ground is not frozen or waterlogged. Warm-Weather Advisory (Zones 7 to 11) If your weather heats to above 90°F in spring, avoid white-flowered azaleas. Their thin petals shatter in the heat. Plant in a site that receives afternoon shade, especially in hot areas. In tropical zones, azaleas will bloom in full shade. Buy plants in 3-gallon cans rather than 1-gallon cans. They're a better bargain in hot climates. Small plants, with their fewer roots, struggle in the hot late spring and summer. Cold-Zone Reminders (Zones 3 to 6) Plant in full sun to increase flowers and avoid mildew problems. Shrubs need a minimum of 6 hours of full sun daily. Plan on the lee side of a windbreak. If subjected to cold, dry winds, their leaves and buds dry out and die. Do not prune spring-flowering shrubs such as azaleas and rhododendrons. On young and old plants, simply snap off spent flower stalks by bending them over until they break away from their stems. Be careful not to damage growth buds at the base of each flower stalk."
30,Turnips,Brassica rapa Rapifera Group,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/turnip2.jpg?itok=DRWY_xCd,http://www.almanac.com/plant/turnips,2,Vegetable,Full Sun,Turnips are biennials usually grown as annuals.,null,null,Keep the beds weed free. Mulch heavily. Water at a rate of 1 inch per week to prevent the roots from becoming tough and bitter.
31,African Violets,Saintpaulia,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/purple_african_violet_top.jpg?itok=GkGrSEf2,http://www.almanac.com/plant/african-violets,2,Houseplant,Part Sun,"African Violets are small, easy to grow houseplants with clusters are small flowers over fuzzy leaves. They will bloom with lower light, though medium to bright indirect light is best.",You can use an actual African Violet potting mix or an all-purpose potting soil. Keep them planted in small pots and re-pot once a year to allow fresh soil.,Cyclamen mites can occur. They are very hard to remove so dispose of plant and and isolate other plants that may have been surrounding the African Violet.,"Keep the soil lightly moist every day and avoid getting the leaves wet. Fertilize every 2 weeks with a high phosphorous plant food. Many varieties prefer warm conditions (65 degrees F or warmer) though some varieties can grow in cooler conditions. For more information on African violets, visit the website for the African Violet Society of America at www.avsa.org."
